,revenue,reward_id,campaign_id,application_id
2014-07-26 21:28:37.706356,0.149,53d41d85-8484-044d-9874-51a9f197851d,4,2
2014-07-26 21:28:45.614748,0.149,53d41d8d-8eda-6892-d3e9-49c21d36ac8a,4,3
2014-07-26 21:29:02.484015,0.149,53d41d9e-caeb-1788-4e3d-11cddc066301,4,2
2014-07-26 21:29:41.705148,0.899,53d41dc5-f490-a805-585d-4226ef06744f,25,1
2014-07-26 21:29:48.142130,0.149,53d41dcc-cfc1-a6b3-f8a4-96dfbed7feec,4,3
2014-07-26 21:29:54.043281,0.2,53d41dd2-757a-00f0-9570-fe936ab2028c,37,0
2014-07-26 21:31:36.239737,0.149,53d41e38-d99f-e2e6-fa96-e09edd020e1f,4,2
2014-07-26 21:31:41.828474,2.499,53d41e3d-9b31-8085-5fa6-5a2bd2c516e1,10,1
2014-07-26 21:33:31.164691,0.149,53d41eab-28d5-adcc-2939-1609f152377a,4,2
2014-07-26 21:33:35.238425,0.149,53d41eaf-0e55-c6ed-7bf6-628fe9a59dbe,4,3
2014-07-26 21:33:36.523495,0.149,53d41eb0-ca6e-ddab-05b9-620e265762aa,4,3
2014-07-26 21:33:37.524245,0.149,53d41eb1-43de-0e3d-271a-0f36e73b00ac,4,3
2014-07-26 21:34:05.778324,0.149,53d41ecd-c560-7f74-3bb6-eb21a00ccba5,4,2
2014-07-26 21:34:48.959365,0.499,53d41ef8-28e1-c852-337a-0cfd4c00866d,38,1
2014-07-26 21:35:50.098586,0.2,53d41f36-5290-b8dd-cf91-019b9432fde5,37,0
2014-07-26 21:35:50.179608,0.149,53d41f36-d02e-2a0b-c604-d61c385ea5d2,4,3
2014-07-26 21:36:20.043775,0.449,53d41f54-bbf1-5470-1de3-8b0de7f341b5,9,0
2014-07-26 21:37:40.941271,0.149,53d41fa4-9341-edf4-6600-29e203efdd59,4,3
2014-07-26 21:38:29.166621,0.2,53d41fd5-23aa-550b-bbe6-950bc1fe0308,37,0
2014-07-26 21:38:49.888903,0.349,53d41fe9-3000-15ea-b9b3-203bcefcc993,3,1
2014-07-26 21:39:44.159737,0.64,53d42020-c739-3557-2f61-ae2634962d2c,7,3
2014-07-26 21:40:00.983859,0.849,53d42031-a1cb-9db4-4c88-37ca2616e1fc,31,3
2014-07-26 21:40:03.825968,1.0,53d42034-002c-d7a6-c90b-ce7b2fded04d,0,2
2014-07-26 21:40:08.954267,0.299,53d42039-10f4-3d8a-c27e-aef173ed2eca,15,1
2014-07-26 21:40:13.516807,1.098,53d4203d-56a6-5e67-0ef1-b5464aa1fbbc,27,0
2014-07-26 21:40:27.731467,0.2,53d4204b-e5a6-d20a-67bc-b167928a0650,37,0
2014-07-26 21:40:29.619957,0.149,53d4204d-9655-4488-4d2d-7f4932c2829c,4,3
2014-07-26 21:40:43.617583,0.45,53d4205b-f905-8cd5-5087-230c4f308a4c,12,1
2014-07-26 21:40:59.943536,0.149,53d4206c-0fb7-1458-e6ee-1527227eca50,4,2
2014-07-26 21:41:39.792602,0.149,53d42093-04a6-8879-0904-e62b873930b6,4,3
2014-07-26 21:42:16.945012,0.149,53d420b9-42bc-8eec-9106-92a6aabc2289,4,2
2014-07-26 21:43:59.718529,0.149,53d4211f-3a7e-fa8e-69d8-e80956ec358d,4,3
2014-07-26 21:44:28.379491,0.149,53d4213c-c5a7-d6e2-ce09-81e41d2111a0,4,3
2014-07-26 21:44:41.831313,0.149,53d42149-0d91-772a-d3e4-98eb49f58539,4,0
2014-07-26 21:44:46.676384,0.149,53d4214e-d41c-a451-5652-e11c2812c6e3,4,3
2014-07-26 21:45:01.868618,0.849,53d4215e-2eb8-205d-ee61-f91872b203b5,31,3
2014-07-26 21:45:38.095549,0.149,53d42182-d260-0916-e4c0-293aea91c52d,4,0
2014-07-26 21:45:45.251549,0.149,53d42189-9de2-d1a4-f8fc-70141f7aa975,4,0
2014-07-26 21:45:46.673696,0.2,53d4218a-363a-c6ab-76ef-07fdcd1fa56d,37,0
2014-07-26 21:45:47.905350,0.45,53d4218b-22f3-3ee1-2beb-61f42e663df6,34,0
2014-07-26 21:46:15.281111,0.255,53d421a7-47d5-9fa8-1583-3a97703f264a,24,1
2014-07-26 21:47:20.700275,0.149,53d421e8-af11-3362-c18a-3ae79a6d44c8,4,0
2014-07-26 21:47:43.537931,0.2,53d421ff-7e6f-53cd-12e7-d4d70a81f468,37,3
2014-07-26 21:47:47.216916,0.149,53d42203-4741-730c-a35d-c9b9568ec69e,4,2
2014-07-26 21:48:01.061653,0.64,53d42211-7861-b2ac-b4dd-73257610d1f5,7,1
2014-07-26 21:48:14.848147,0.2,53d4221e-430b-9017-1fce-9c267a1ea779,37,0
2014-07-26 21:49:01.536451,0.149,53d4224d-8ddc-1f24-df1d-7db09ceec611,4,3
2014-07-26 21:49:32.423307,0.149,53d4226c-2f3f-9c9b-d81d-94467424ae76,4,3
